round_num,grand_prix,constructor,driver,lap,position,tyre_compound,tyre_life,sector_1_time,sector_2_time,sector_3_time,lap_time
1,Australian Grand Prix,McLaren,NOR,1,6,MEDIUM,1,,18.163,38.796,96.458
1,Australian Grand Prix,McLaren,NOR,2,6,MEDIUM,2,31.074,18.116,38.154,87.344
1,Australian Grand Prix,McLaren,NOR,3,7,MEDIUM,3,30.541,18.252,38.07,86.863
1,Australian Grand Prix,McLaren,NOR,4,7,MEDIUM,4,30.19,18.193,37.474,85.857
1,Australian Grand Prix,McLaren,NOR,5,7,MEDIUM,5,29.93,17.868,37.775,85.573
1,Australian Grand Prix,McLaren,NOR,6,7,MEDIUM,6,30.025,17.829,37.182,85.036
1,Australian Grand Prix,McLaren,NOR,7,7,MEDIUM,7,30.067,17.764,37.147,84.978
1,Australian Grand Prix,McLaren,NOR,8,7,MEDIUM,8,30.191,17.97,37.138,85.299
1,Australian Grand Prix,McLaren,NOR,9,7,MEDIUM,9,30.135,17.77,37.734,85.639
1,Australian Grand Prix,McLaren,NOR,10,7,MEDIUM,10,30.117,17.924,37.254,85.295
1,Australian Grand Prix,McLaren,NOR,11,9,MEDIUM,11,30.117,17.987,55.287,103.391
1,Australian Grand Prix,McLaren,NOR,12,9,HARD,1,44.892,27.737,45.446,118.075
1,Australian Grand Prix,McLaren,NOR,13,9,HARD,2,41.529,27.589,42.814,111.932
1,Australian Grand Prix,McLaren,NOR,14,9,HARD,3,29.882,17.87,36.481,84.233
1,Australian Grand Prix,McLaren,NOR,15,9,HARD,4,29.402,17.899,36.483,83.784
1,Australian Grand Prix,McLaren,NOR,16,9,HARD,5,29.524,17.919,36.469,83.912
1,Australian Grand Prix,McLaren,NOR,17,9,HARD,6,29.442,18.015,36.596,84.053
1,Australian Grand Prix,McLaren,NOR,18,5,HARD,7,29.758,17.788,47.858,95.404
1,Australian Grand Prix,McLaren,NOR,19,5,HARD,8,42.456,22.738,50.876,116.07
1,Australian Grand Prix,McLaren,NOR,20,5,HARD,9,30.612,18.63,36.532,85.774
1,Australian Grand Prix,McLaren,NOR,21,5,HARD,10,29.499,18.129,36.344,83.972
1,Australian Grand Prix,McLaren,NOR,22,5,HARD,11,29.317,17.999,36.371,83.687
1,Australian Grand Prix,McLaren,NOR,23,5,HARD,12,29.254,17.992,36.288,83.534
1,Australian Grand Prix,McLaren,NOR,24,5,HARD,13,29.302,17.929,36.163,83.394
1,Australian Grand Prix,McLaren,NOR,25,5,HARD,14,29.373,17.925,36.202,83.5
1,Australian Grand Prix,McLaren,NOR,26,5,HARD,15,29.35,17.894,36.159,83.403
1,Australian Grand Prix,McLaren,NOR,27,5,HARD,16,29.426,18.011,36.459,83.896
1,Australian Grand Prix,McLaren,NOR,28,5,HARD,17,29.538,17.988,36.514,84.04
1,Australian Grand Prix,McLaren,NOR,29,5,HARD,18,29.692,17.992,36.396,84.08
1,Australian Grand Prix,McLaren,NOR,30,5,HARD,19,29.515,17.966,36.48,83.961
1,Australian Grand Prix,McLaren,NOR,31,5,HARD,20,29.604,17.958,36.532,84.094
1,Australian Grand Prix,McLaren,NOR,32,5,HARD,21,29.481,17.98,36.614,84.075
1,Australian Grand Prix,McLaren,NOR,33,5,HARD,22,30.039,18.027,36.724,84.79
1,Australian Grand Prix,McLaren,NOR,34,6,HARD,23,39.736,22.345,50.651,112.732
1,Australian Grand Prix,McLaren,NOR,35,8,MEDIUM,1,34.977,17.783,36.674,89.434
1,Australian Grand Prix,McLaren,NOR,36,8,MEDIUM,2,29.282,17.819,36.223,83.324
1,Australian Grand Prix,McLaren,NOR,37,8,MEDIUM,3,29.399,17.652,36.397,83.448
1,Australian Grand Prix,McLaren,NOR,38,7,MEDIUM,4,29.202,17.867,36.354,83.423
1,Australian Grand Prix,McLaren,NOR,39,6,MEDIUM,5,29.482,18.144,36.375,84.001
1,Australian Grand Prix,McLaren,NOR,40,6,MEDIUM,6,29.188,17.861,36.348,83.397
1,Australian Grand Prix,McLaren,NOR,41,6,MEDIUM,7,29.481,18.0,36.281,83.762
1,Australian Grand Prix,McLaren,NOR,42,5,MEDIUM,8,29.334,17.955,36.058,83.347
1,Australian Grand Prix,McLaren,NOR,43,5,MEDIUM,9,29.377,17.865,36.044,83.286
1,Australian Grand Prix,McLaren,NOR,44,5,MEDIUM,10,29.308,17.809,36.075,83.192
1,Australian Grand Prix,McLaren,NOR,45,5,MEDIUM,11,29.236,17.8,35.85,82.886
1,Australian Grand Prix,McLaren,NOR,46,5,MEDIUM,12,29.05,17.644,36.214,82.908
1,Australian Grand Prix,McLaren,NOR,47,5,MEDIUM,13,29.083,17.798,35.897,82.778
1,Australian Grand Prix,McLaren,NOR,48,5,MEDIUM,14,29.106,17.743,36.104,82.953
1,Australian Grand Prix,McLaren,NOR,49,5,MEDIUM,15,29.043,17.88,35.881,82.804
1,Australian Grand Prix,McLaren,NOR,50,5,MEDIUM,16,29.057,17.845,35.861,82.763
1,Australian Grand Prix,McLaren,NOR,51,5,MEDIUM,17,29.032,17.854,35.712,82.598
1,Australian Grand Prix,McLaren,NOR,52,5,MEDIUM,18,29.077,17.781,35.926,82.784
1,Australian Grand Prix,McLaren,NOR,53,5,MEDIUM,19,28.979,17.78,35.599,82.358
1,Australian Grand Prix,McLaren,NOR,54,5,MEDIUM,20,29.006,17.779,36.011,82.796
1,Australian Grand Prix,McLaren,NOR,55,5,MEDIUM,21,29.076,17.822,35.969,82.867
1,Australian Grand Prix,McLaren,NOR,56,5,MEDIUM,22,29.096,17.831,35.916,82.843
1,Australian Grand Prix,McLaren,NOR,57,5,MEDIUM,23,29.563,17.762,36.091,83.416
1,Australian Grand Prix,McLaren,NOR,58,5,MEDIUM,24,29.171,17.845,36.03,83.046
1,Australian Grand Prix,Alpine,GAS,1,9,MEDIUM,1,,18.682,38.91,97.98
1,Australian Grand Prix,Alpine,GAS,2,9,MEDIUM,2,31.136,17.996,38.149,87.281
1,Australian Grand Prix,Alpine,GAS,3,9,MEDIUM,3,30.613,17.818,37.94,86.371
1,Australian Grand Prix,Alpine,GAS,4,9,MEDIUM,4,30.427,17.771,37.696,85.894
1,Australian Grand Prix,Alpine,GAS,5,9,MEDIUM,5,30.983,17.647,38.41,87.04
1,Australian Grand Prix,Alpine,GAS,6,9,MEDIUM,6,30.696,17.8,37.493,85.989
1,Australian Grand Prix,Alpine,GAS,7,9,MEDIUM,7,29.873,17.815,37.391,85.079
1,Australian Grand Prix,Alpine,GAS,8,9,MEDIUM,8,29.969,17.697,37.298,84.964
1,Australian Grand Prix,Alpine,GAS,9,9,MEDIUM,9,30.052,17.651,37.738,85.441
1,Australian Grand Prix,Alpine,GAS,10,10,MEDIUM,10,30.475,17.8,38.394,86.669
1,Australian Grand Prix,Alpine,GAS,11,12,MEDIUM,11,30.082,17.797,56.942,104.821
1,Australian Grand Prix,Alpine,GAS,12,11,HARD,1,42.291,29.532,46.249,118.072
1,Australian Grand Prix,Alpine,GAS,13,11,HARD,2,40.653,30.489,40.492,111.634
1,Australian Grand Prix,Alpine,GAS,14,11,HARD,3,30.752,17.982,37.014,85.748
1,Australian Grand Prix,Alpine,GAS,15,11,HARD,4,29.928,17.954,36.941,84.823
1,Australian Grand Prix,Alpine,GAS,16,11,HARD,5,29.817,17.81,37.063,84.69
1,Australian Grand Prix,Alpine,GAS,17,11,HARD,6,29.868,17.693,37.642,85.203
1,Australian Grand Prix,Alpine,GAS,18,11,HARD,7,30.704,25.668,44.853,101.225
1,Australian Grand Prix,Alpine,GAS,19,10,HARD,8,41.395,25.752,45.803,112.95
1,Australian Grand Prix,Alpine,GAS,20,11,HARD,9,31.057,17.719,37.802,86.578
1,Australian Grand Prix,Alpine,GAS,21,10,HARD,10,30.591,17.995,37.092,85.678
1,Australian Grand Prix,Alpine,GAS,22,10,HARD,11,29.74,17.913,36.933,84.586
1,Australian Grand Prix,Alpine,GAS,23,10,HARD,12,29.633,17.823,37.043,84.499
1,Australian Grand Prix,Alpine,GAS,24,10,HARD,13,30.053,17.852,36.947,84.852
1,Australian Grand Prix,Alpine,GAS,25,10,HARD,14,29.816,17.886,36.838,84.54
1,Australian Grand Prix,Alpine,GAS,26,10,HARD,15,29.94,17.957,36.874,84.771
1,Australian Grand Prix,Alpine,GAS,27,10,HARD,16,29.68,17.895,37.086,84.661
1,Australian Grand Prix,Alpine,GAS,28,10,HARD,17,29.776,17.975,37.044,84.795
1,Australian Grand Prix,Alpine,GAS,29,10,HARD,18,29.838,18.01,37.248,85.096
1,Australian Grand Prix,Alpine,GAS,30,10,HARD,19,30.259,17.917,37.066,85.242
1,Australian Grand Prix,Alpine,GAS,31,10,HARD,20,30.213,17.873,37.185,85.271
1,Australian Grand Prix,Alpine,GAS,32,10,HARD,21,30.2,17.946,37.056,85.202
1,Australian Grand Prix,Alpine,GAS,33,9,HARD,22,30.216,18.086,43.974,92.276
1,Australian Grand Prix,Alpine,GAS,34,9,HARD,23,35.755,18.14,37.349,91.244
1,Australian Grand Prix,Alpine,GAS,35,9,HARD,24,30.064,17.915,37.05,85.029
1,Australian Grand Prix,Alpine,GAS,36,9,HARD,25,29.89,17.876,37.411,85.177
1,Australian Grand Prix,Alpine,GAS,37,10,HARD,26,30.147,18.019,38.167,86.333
1,Australian Grand Prix,Alpine,GAS,38,9,HARD,27,30.547,17.76,37.787,86.094
1,Australian Grand Prix,Alpine,GAS,39,9,HARD,28,30.113,17.989,37.163,85.265
1,Australian Grand Prix,Alpine,GAS,40,10,HARD,29,30.738,17.773,37.621,86.132
1,Australian Grand Prix,Alpine,GAS,41,10,HARD,30,30.039,17.873,37.407,85.319
1,Australian Grand Prix,Alpine,GAS,42,10,HARD,31,29.776,17.899,37.204,84.879
1,Australian Grand Prix,Alpine,GAS,43,10,HARD,32,30.015,17.902,37.06,84.977
1,Australian Grand Prix,Alpine,GAS,44,10,HARD,33,29.992,17.897,37.139,85.028
1,Australian Grand Prix,Alpine,GAS,45,10,HARD,34,30.63,18.626,37.919,87.175
1,Australian Grand Prix,Alpine,GAS,46,10,HARD,35,30.097,17.911,37.345,85.353
1,Australian Grand Prix,Alpine,GAS,47,10,HARD,36,29.971,18.379,38.147,86.497
1,Australian Grand Prix,Alpine,GAS,48,10,HARD,37,29.911,17.794,37.277,84.982
1,Australian Grand Prix,Alpine,GAS,49,10,HARD,38,30.1,17.949,37.232,85.281
1,Australian Grand Prix,Alpine,GAS,50,10,HARD,39,30.004,17.925,36.998,84.927
1,Australian Grand Prix,Alpine,GAS,51,10,HARD,40,30.17,18.244,38.046,86.46
1,Australian Grand Prix,Alpine,GAS,52,10,HARD,41,31.448,17.854,37.225,86.527
1,Australian Grand Prix,Alpine,GAS,53,10,HARD,42,29.893,17.911,36.986,84.79
1,Australian Grand Prix,Alpine,GAS,54,10,HARD,43,29.789,17.954,36.777,84.52
1,Australian Grand Prix,Alpine,GAS,55,10,HARD,44,29.659,17.851,37.085,84.595
1,Australian Grand Prix,Alpine,GAS,56,10,HARD,45,29.844,17.894,36.748,84.486
1,Australian Grand Prix,Alpine,GAS,57,10,HARD,46,29.814,17.848,37.175,84.837
1,Australian Grand Prix,Cadillac,PER,1,19,MEDIUM,1,,19.226,40.448,102.557
1,Australian Grand Prix,Cadillac,PER,2,19,MEDIUM,2,31.753,18.188,38.822,88.763
1,Australian Grand Prix,Cadillac,PER,3,18,MEDIUM,3,31.672,18.037,38.385,88.094
1,Australian Grand Prix,Cadillac,PER,4,18,MEDIUM,4,30.827,18.195,38.2,87.222
1,Australian Grand Prix,Cadillac,PER,5,18,MEDIUM,5,31.295,18.506,38.224,88.025
1,Australian Grand Prix,Cadillac,PER,6,18,MEDIUM,6,31.178,18.288,38.129,87.595
1,Australian Grand Prix,Cadillac,PER,7,18,MEDIUM,7,31.003,18.3,38.322,87.625
1,Australian Grand Prix,Cadillac,PER,8,18,MEDIUM,8,30.946,18.193,38.045,87.184
1,Australian Grand Prix,Cadillac,PER,9,17,MEDIUM,9,30.807,18.233,38.01,87.05
1,Australian Grand Prix,Cadillac,PER,10,17,MEDIUM,10,30.981,18.397,38.217,87.595
1,Australian Grand Prix,Cadillac,PER,11,14,MEDIUM,11,31.102,18.422,48.351,97.875
1,Australian Grand Prix,Cadillac,PER,12,14,MEDIUM,12,43.311,24.555,48.671,116.537
1,Australian Grand Prix,Cadillac,PER,13,14,MEDIUM,13,41.541,26.385,42.075,110.001
1,Australian Grand Prix,Cadillac,PER,14,14,MEDIUM,14,30.356,18.641,38.087,87.084
1,Australian Grand Prix,Cadillac,PER,15,14,MEDIUM,15,30.957,18.323,38.857,88.137
1,Australian Grand Prix,Cadillac,PER,16,15,MEDIUM,16,31.938,19.006,40.333,91.277
1,Australian Grand Prix,Cadillac,PER,17,15,MEDIUM,17,31.493,18.417,38.705,88.615
1,Australian Grand Prix,Cadillac,PER,18,16,MEDIUM,18,35.121,24.446,66.517,126.084
1,Australian Grand Prix,Cadillac,PER,19,16,HARD,1,45.6,19.548,38.211,103.359
1,Australian Grand Prix,Cadillac,PER,20,16,HARD,2,30.352,18.323,37.815,86.49
1,Australian Grand Prix,Cadillac,PER,21,16,HARD,3,30.52,18.341,38.401,87.262
1,Australian Grand Prix,Cadillac,PER,22,16,HARD,4,32.306,18.051,38.726,89.083
1,Australian Grand Prix,Cadillac,PER,23,16,HARD,5,31.521,18.152,37.784,87.457
1,Australian Grand Prix,Cadillac,PER,24,16,HARD,6,30.505,18.594,40.185,89.284
1,Australian Grand Prix,Cadillac,PER,25,16,HARD,7,30.785,18.117,38.191,87.093
1,Australian Grand Prix,Cadillac,PER,26,16,HARD,8,32.306,18.158,38.124,88.588
1,Australian Grand Prix,Cadillac,PER,27,16,HARD,9,30.457,18.511,39.384,88.352
1,Australian Grand Prix,Cadillac,PER,28,16,HARD,10,31.333,18.077,39.839,89.249
1,Australian Grand Prix,Cadillac,PER,29,16,HARD,11,30.669,18.062,38.203,86.934
1,Australian Grand Prix,Cadillac,PER,30,16,HARD,12,30.911,18.227,38.281,87.419
1,Australian Grand Prix,Cadillac,PER,31,16,HARD,13,30.889,18.328,41.289,90.506
1,Australian Grand Prix,Cadillac,PER,32,16,HARD,14,31.025,19.385,44.562,94.972
1,Australian Grand Prix,Cadillac,PER,33,16,HARD,15,37.144,18.329,38.005,93.478
1,Australian Grand Prix,Cadillac,PER,34,16,HARD,16,30.958,18.172,38.021,87.151
