round,grand_prix,constructor,driver,lap,position,time
1,Bahrain,Red Bull,VER,15,1,97.011
1,Bahrain,Aston Martin,ALO,15,2,101.101
1,Bahrain,Red Bull,PER,15,3,96.815
1,Bahrain,Mercedes,RUS,15,4,96.922
1,Bahrain,Williams,ALB,15,5,101.171
1,Bahrain,Ferrari,LEC,15,6,96.813
1,Bahrain,Ferrari,SAI,15,7,117.225
1,Bahrain,McLaren,NOR,15,8,96.912
1,Bahrain,McLaren,PIA,15,9,96.823
1,Bahrain,Mercedes,HAM,15,10,97.264
1,Bahrain,Kick Sauber,ZHO,15,11,97.5
1,Bahrain,Aston Martin,STR,15,12,97.533
1,Bahrain,Racing Bulls,TSU,15,13,119.588
1,Bahrain,Haas,MAG,15,14,98.332
1,Bahrain,Alpine,OCO,15,15,97.843
1,Bahrain,Racing Bulls,RIC,15,16,97.07
1,Bahrain,Haas,HUL,15,17,98.11
1,Bahrain,Kick Sauber,BOT,15,18,97.287
1,Bahrain,Alpine,GAS,15,19,97.492
1,Bahrain,Williams,SAR,15,20,97.594
1,Bahrain,Red Bull,VER,25,1,95.342
1,Bahrain,Red Bull,PER,25,2,96.344
1,Bahrain,Ferrari,SAI,25,3,96.22
1,Bahrain,Mercedes,RUS,25,4,96.928
1,Bahrain,Ferrari,LEC,25,5,96.76
1,Bahrain,McLaren,NOR,25,6,96.73
1,Bahrain,McLaren,PIA,25,7,97.008
1,Bahrain,Mercedes,HAM,25,8,96.919
1,Bahrain,Aston Martin,ALO,25,9,97.179
1,Bahrain,Kick Sauber,ZHO,25,10,97.883
1,Bahrain,Racing Bulls,TSU,25,11,97.851
1,Bahrain,Aston Martin,STR,25,12,97.994
1,Bahrain,Haas,MAG,25,13,98.29
1,Bahrain,Williams,ALB,25,14,98.226
1,Bahrain,Racing Bulls,RIC,25,15,97.973
1,Bahrain,Alpine,OCO,25,16,98.494
1,Bahrain,Kick Sauber,BOT,25,17,98.262
1,Bahrain,Alpine,GAS,25,18,98.16
1,Bahrain,Haas,HUL,25,19,96.652
1,Bahrain,Williams,SAR,25,20,99.093
1,Bahrain,Red Bull,VER,17,1,99.896
1,Bahrain,Red Bull,PER,17,2,96.454
1,Bahrain,Mercedes,RUS,17,3,96.234
1,Bahrain,Ferrari,SAI,17,4,95.507
1,Bahrain,Ferrari,LEC,17,5,97.302
1,Bahrain,McLaren,NOR,17,6,96.776
1,Bahrain,McLaren,PIA,17,7,96.872
1,Bahrain,Mercedes,HAM,17,8,97.111
1,Bahrain,Aston Martin,ALO,17,9,96.97
1,Bahrain,Kick Sauber,ZHO,17,10,98.475
1,Bahrain,Racing Bulls,TSU,17,11,97.482
1,Bahrain,Aston Martin,STR,17,12,98.777
1,Bahrain,Haas,MAG,17,13,98.282
1,Bahrain,Williams,ALB,17,14,97.392
1,Bahrain,Alpine,OCO,17,15,98.911
1,Bahrain,Racing Bulls,RIC,17,16,97.29
1,Bahrain,Haas,HUL,17,17,97.891
1,Bahrain,Kick Sauber,BOT,17,18,97.765
1,Bahrain,Alpine,GAS,17,19,97.949
1,Bahrain,Williams,SAR,17,20,99.758
1,Bahrain,Red Bull,VER,26,1,95.223
1,Bahrain,Red Bull,PER,26,2,96.347
1,Bahrain,Ferrari,SAI,26,3,96.221
1,Bahrain,Mercedes,RUS,26,4,96.801
1,Bahrain,Ferrari,LEC,26,5,96.81
1,Bahrain,McLaren,NOR,26,6,96.566
1,Bahrain,McLaren,PIA,26,7,96.882
1,Bahrain,Mercedes,HAM,26,8,96.714
1,Bahrain,Aston Martin,ALO,26,9,97.638
1,Bahrain,Kick Sauber,ZHO,26,10,97.995
1,Bahrain,Racing Bulls,TSU,26,11,98.058
1,Bahrain,Aston Martin,STR,26,12,98.133
1,Bahrain,Haas,MAG,26,13,98.093
1,Bahrain,Williams,ALB,26,14,98.1
1,Bahrain,Racing Bulls,RIC,26,15,98.029
1,Bahrain,Alpine,OCO,26,16,98.665
1,Bahrain,Kick Sauber,BOT,26,17,98.308
1,Bahrain,Alpine,GAS,26,18,98.379
1,Bahrain,Haas,HUL,26,19,96.548
1,Bahrain,Williams,SAR,26,20,97.859
1,Bahrain,Red Bull,VER,24,1,95.289
1,Bahrain,Red Bull,PER,24,2,96.211
1,Bahrain,Ferrari,SAI,24,3,96.2
1,Bahrain,Mercedes,RUS,24,4,96.736
1,Bahrain,Ferrari,LEC,24,5,96.924
1,Bahrain,McLaren,NOR,24,6,96.823
1,Bahrain,McLaren,PIA,24,7,96.884
1,Bahrain,Mercedes,HAM,24,8,96.666
1,Bahrain,Aston Martin,ALO,24,9,97.046
1,Bahrain,Kick Sauber,ZHO,24,10,97.894
1,Bahrain,Racing Bulls,TSU,24,11,97.634
1,Bahrain,Aston Martin,STR,24,12,98.138
1,Bahrain,Haas,MAG,24,13,98.156
1,Bahrain,Williams,ALB,24,14,98.204
1,Bahrain,Racing Bulls,RIC,24,15,97.766
1,Bahrain,Alpine,OCO,24,16,98.42
1,Bahrain,Kick Sauber,BOT,24,17,98.146
1,Bahrain,Alpine,GAS,24,18,98.192
1,Bahrain,Haas,HUL,24,19,96.626
1,Bahrain,Williams,SAR,24,20,99.437
1,Bahrain,Red Bull,VER,19,1,95.283
1,Bahrain,Red Bull,PER,19,2,96.038
1,Bahrain,Ferrari,SAI,19,3,96.236
1,Bahrain,Mercedes,RUS,19,4,97.233
1,Bahrain,Ferrari,LEC,19,5,96.821
1,Bahrain,McLaren,NOR,19,6,96.416
1,Bahrain,McLaren,PIA,19,7,96.577
1,Bahrain,Mercedes,HAM,19,8,96.694
1,Bahrain,Aston Martin,ALO,19,9,97.072
1,Bahrain,Kick Sauber,ZHO,19,10,97.652
1,Bahrain,Racing Bulls,TSU,19,11,97.396
1,Bahrain,Aston Martin,STR,19,12,97.554
1,Bahrain,Haas,MAG,19,13,97.792
1,Bahrain,Williams,ALB,19,14,97.763
1,Bahrain,Alpine,OCO,19,15,98.332
1,Bahrain,Racing Bulls,RIC,19,16,98.35
1,Bahrain,Haas,HUL,19,17,97.862
1,Bahrain,Kick Sauber,BOT,19,18,97.662
1,Bahrain,Alpine,GAS,19,19,97.702
1,Bahrain,Williams,SAR,19,20,97.742
1,Bahrain,Red Bull,VER,6,1,97.092
1,Bahrain,Mercedes,RUS,6,2,97.784
1,Bahrain,Ferrari,LEC,6,3,97.782
1,Bahrain,Red Bull,PER,6,4,97.823
1,Bahrain,Ferrari,SAI,6,5,97.741
1,Bahrain,McLaren,NOR,6,6,97.896
1,Bahrain,McLaren,PIA,6,7,97.955
1,Bahrain,Aston Martin,ALO,6,8,98.053
1,Bahrain,Mercedes,HAM,6,9,98.183
1,Bahrain,Racing Bulls,TSU,6,10,98.361
1,Bahrain,Williams,ALB,6,11,98.575
1,Bahrain,Haas,MAG,6,12,98.529
1,Bahrain,Kick Sauber,ZHO,6,13,98.488
1,Bahrain,Williams,SAR,6,14,98.582
1,Bahrain,Racing Bulls,RIC,6,15,98.689
1,Bahrain,Alpine,OCO,6,16,98.874
1,Bahrain,Alpine,GAS,6,17,99.099
1,Bahrain,Aston Martin,STR,6,18,98.925
1,Bahrain,Kick Sauber,BOT,6,19,99.206
1,Bahrain,Haas,HUL,6,20,97.896
1,Bahrain,Red Bull,VER,29,1,95.793
1,Bahrain,Red Bull,PER,29,2,96.437
1,Bahrain,Ferrari,SAI,29,3,96.6
1,Bahrain,Mercedes,RUS,29,4,97.066
1,Bahrain,Ferrari,LEC,29,5,96.963
1,Bahrain,McLaren,NOR,29,6,97.041
1,Bahrain,McLaren,PIA,29,7,97.179
1,Bahrain,Mercedes,HAM,29,8,96.786
1,Bahrain,Aston Martin,ALO,29,9,97.104
1,Bahrain,Racing Bulls,TSU,29,10,97.777
1,Bahrain,Haas,MAG,29,11,97.965
1,Bahrain,Williams,ALB,29,12,97.879
1,Bahrain,Racing Bulls,RIC,29,13,97.96
1,Bahrain,Alpine,OCO,29,14,98.556
1,Bahrain,Kick Sauber,BOT,29,15,98.654
1,Bahrain,Alpine,GAS,29,16,98.55
1,Bahrain,Kick Sauber,ZHO,29,17,117.076
1,Bahrain,Aston Martin,STR,29,18,95.854
1,Bahrain,Haas,HUL,29,19,96.837
1,Bahrain,Williams,SAR,29,20,121.581
1,Bahrain,Red Bull,VER,11,1,97.085
1,Bahrain,Red Bull,PER,11,2,97.836
1,Bahrain,Ferrari,SAI,11,3,97.656
1,Bahrain,Mercedes,RUS,11,4,100.515
1,Bahrain,McLaren,NOR,11,5,98.172
1,Bahrain,Ferrari,LEC,11,6,101.737
1,Bahrain,McLaren,PIA,11,7,98.397
1,Bahrain,Mercedes,HAM,11,8,98.236
1,Bahrain,Aston Martin,ALO,11,9,98.554
1,Bahrain,Racing Bulls,TSU,11,10,98.799
1,Bahrain,Williams,ALB,11,11,98.835
1,Bahrain,Haas,MAG,11,12,101.088
1,Bahrain,Racing Bulls,RIC,11,13,99.033
1,Bahrain,Alpine,GAS,11,14,98.656
1,Bahrain,Kick Sauber,BOT,11,15,99.187
1,Bahrain,Kick Sauber,ZHO,11,16,96.365
1,Bahrain,Aston Martin,STR,11,17,96.494
1,Bahrain,Alpine,OCO,11,18,119.014
1,Bahrain,Haas,HUL,11,19,97.638
1,Bahrain,Williams,SAR,11,20,132.438
1,Bahrain,Red Bull,VER,28,1,95.477
1,Bahrain,Red Bull,PER,28,2,96.226
1,Bahrain,Ferrari,SAI,28,3,96.534
1,Bahrain,Mercedes,RUS,28,4,96.911
1,Bahrain,Ferrari,LEC,28,5,96.907
1,Bahrain,McLaren,NOR,28,6,97.018
1,Bahrain,McLaren,PIA,28,7,96.905
1,Bahrain,Mercedes,HAM,28,8,96.692
1,Bahrain,Aston Martin,ALO,28,9,97.256
1,Bahrain,Racing Bulls,TSU,28,10,98.164
1,Bahrain,Kick Sauber,ZHO,28,11,100.675
1,Bahrain,Haas,MAG,28,12,97.936
1,Bahrain,Williams,ALB,28,13,98.048
1,Bahrain,Racing Bulls,RIC,28,14,98.045
1,Bahrain,Alpine,OCO,28,15,98.372
1,Bahrain,Kick Sauber,BOT,28,16,98.595
1,Bahrain,Alpine,GAS,28,17,98.615
1,Bahrain,Aston Martin,STR,28,18,116.64
1,Bahrain,Haas,HUL,28,19,97.254
1,Bahrain,Williams,SAR,28,20,100.535
1,Bahrain,Red Bull,VER,14,1,97.028
1,Bahrain,Ferrari,SAI,14,2,99.753
1,Bahrain,Aston Martin,ALO,14,3,98.612
1,Bahrain,Racing Bulls,TSU,14,4,101.138
1,Bahrain,Williams,ALB,14,5,98.977
1,Bahrain,Red Bull,PER,14,6,95.606
1,Bahrain,Mercedes,RUS,14,7,97.571
1,Bahrain,Ferrari,LEC,14,8,96.756
1,Bahrain,McLaren,NOR,14,9,117.77
1,Bahrain,McLaren,PIA,14,10,96.796
1,Bahrain,Mercedes,HAM,14,11,97.178
1,Bahrain,Kick Sauber,ZHO,14,12,97.482
1,Bahrain,Aston Martin,STR,14,13,97.624
1,Bahrain,Haas,MAG,14,14,97.59
1,Bahrain,Alpine,OCO,14,15,97.537
1,Bahrain,Racing Bulls,RIC,14,16,119.408
1,Bahrain,Haas,HUL,14,17,97.879
1,Bahrain,Kick Sauber,BOT,14,18,96.454
1,Bahrain,Alpine,GAS,14,19,97.689
1,Bahrain,Williams,SAR,14,20,101.47
1,Bahrain,Red Bull,VER,27,1,95.581
1,Bahrain,Red Bull,PER,27,2,96.233
1,Bahrain,Ferrari,SAI,27,3,96.272
1,Bahrain,Mercedes,RUS,27,4,96.815
1,Bahrain,Ferrari,LEC,27,5,96.831
1,Bahrain,McLaren,NOR,27,6,96.726
1,Bahrain,McLaren,PIA,27,7,96.905
1,Bahrain,Mercedes,HAM,27,8,97.201
1,Bahrain,Aston Martin,ALO,27,9,96.945
1,Bahrain,Kick Sauber,ZHO,27,10,98.053
1,Bahrain,Racing Bulls,TSU,27,11,98.083
1,Bahrain,Haas,MAG,27,12,98.226
1,Bahrain,Aston Martin,STR,27,13,100.71
1,Bahrain,Williams,ALB,27,14,98.296
1,Bahrain,Racing Bulls,RIC,27,15,98.152
1,Bahrain,Alpine,OCO,27,16,98.549
1,Bahrain,Kick Sauber,BOT,27,17,98.426
1,Bahrain,Alpine,GAS,27,18,98.4
1,Bahrain,Haas,HUL,27,19,96.647
1,Bahrain,Williams,SAR,27,20,98.288
1,Bahrain,Red Bull,VER,10,1,96.96
1,Bahrain,Mercedes,RUS,10,2,97.782
1,Bahrain,Red Bull,PER,10,3,97.63
1,Bahrain,Ferrari,LEC,10,4,97.884
1,Bahrain,Ferrari,SAI,10,5,97.608
1,Bahrain,McLaren,NOR,10,6,97.936
1,Bahrain,McLaren,PIA,10,7,98.073
1,Bahrain,Mercedes,HAM,10,8,98.037
1,Bahrain,Aston Martin,ALO,10,9,99.325
1,Bahrain,Racing Bulls,TSU,10,10,98.912
1,Bahrain,Williams,ALB,10,11,98.952
1,Bahrain,Haas,MAG,10,12,98.747
1,Bahrain,Racing Bulls,RIC,10,13,98.782
1,Bahrain,Alpine,GAS,10,14,98.929
1,Bahrain,Kick Sauber,BOT,10,15,99.112
1,Bahrain,Alpine,OCO,10,16,101.642
1,Bahrain,Kick Sauber,ZHO,10,17,119.328
1,Bahrain,Aston Martin,STR,10,18,117.815
1,Bahrain,Haas,HUL,10,19,98.37
1,Bahrain,Williams,SAR,10,20,161.86
1,Bahrain,Red Bull,VER,7,1,97.038
1,Bahrain,Mercedes,RUS,7,2,98.082
1,Bahrain,Red Bull,PER,7,3,97.821
1,Bahrain,Ferrari,LEC,7,4,98.957
1,Bahrain,Ferrari,SAI,7,5,98.26
1,Bahrain,McLaren,NOR,7,6,97.86
1,Bahrain,McLaren,PIA,7,7,97.984
1,Bahrain,Aston Martin,ALO,7,8,98.008
1,Bahrain,Mercedes,HAM,7,9,97.839
1,Bahrain,Racing Bulls,TSU,7,10,98.364
1,Bahrain,Williams,ALB,7,11,98.971
1,Bahrain,Haas,MAG,7,12,100.058
1,Bahrain,Kick Sauber,ZHO,7,13,99.517
1,Bahrain,Williams,SAR,7,14,99.464
1,Bahrain,Racing Bulls,RIC,7,15,99.193
1,Bahrain,Alpine,OCO,7,16,99.152
1,Bahrain,Alpine,GAS,7,17,99.078
1,Bahrain,Aston Martin,STR,7,18,98.769
1,Bahrain,Kick Sauber,BOT,7,19,98.654
1,Bahrain,Haas,HUL,7,20,97.682
1,Bahrain,Red Bull,VER,4,1,96.647
1,Bahrain,Mercedes,RUS,4,2,97.738
1,Bahrain,Ferrari,LEC,4,3,97.752
1,Bahrain,Red Bull,PER,4,4,97.722
1,Bahrain,Ferrari,SAI,4,5,97.264
1,Bahrain,McLaren,NOR,4,6,97.45
1,Bahrain,Aston Martin,ALO,4,7,97.776
1,Bahrain,McLaren,PIA,4,8,97.897
1,Bahrain,Mercedes,HAM,4,9,98.287
1,Bahrain,Racing Bulls,TSU,4,10,98.31
